Seed,Desc,Player,Wilds,H20,Predict,Actual,Quality,Play,Points,Ante,Surr,Total,R_Wilds,R_Ante,R_Surr,R_Points,R_Totals,R_Plays,R_Wins,R_Games,Hand 1,Hand 2,Hand 3,Hand 4,Hand 5,Hand 6,Total,h1_score,h1_points,h2_score,h2_points,h3_score,h3_points,h4_score,h4_points,h5_score,h5_points,h6_score,h6_points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Ming  ,845,1,1119.5,2741.3,1573.4, Monster,   True,-22,-20,0,-42,6,-30,-20,-128,-178,10,2,14,   A, Pair 9, Pair J, Pair Q, Four K, SixSF A, (1573.4, (11404, 100.0), (20908, 23.3), (21108, 13.2), (21207, 3.4), (81314, 702.9), (111406, 730.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Tony  ,845,0,1696.7,2462.7,2062.1, Monster,   True,16,-20,0,-4,7,-40,0,97,57,9,2,14,   A, Pair 5, Trip SD9, Trip SHT, Four J, Six 2, (2062.1, (11404, 100.0), (20512, 8.2), (40942, 300.8), (41043, 65.2), (81114, 664.8), (120200, 923.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Edmond,845,0,205.4,1458.3,1022,     Ok,   True,-41,-20,0,-61,4,115,65,85,265,10,3,14,   A, Trip SH5, Trip SH9, Trip SHQ, Straight J, Flush Q, (1022.0, (11402, 67.8), (40543, 521.7), (40943, 314.4), (41243, 107.9), (51110, 6.1), (61211, 4.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Philip,845,0,286.6,2399.5,814.8, Monster,  False,0,-10,-40,-50,8,65,-165,125,25,6,2,14,   A, Pair J, Pair Q, Pair K, Four 4, Four 6, (814.8, (11403, 82.5), (21110, 33.5), (21209, 17.6), (21307, 5.2), (80414, 515.3), (80610, 160.7)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Peter ,845,0,242.6,1387.8,1482.4, Not Ok,  False,0,-10,-30,-40,4,-260,-130,-324,-714,11,0,15,   A, Trip HH8, Trip SDJ, Trip SDQ, Flush K, Four T, (1482.4, (11402, 67.8), (40833, 678.7), (41142, 409.6), (41242, 99.9), (61309, 27.0), (81013, 199.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Johnny,845,1,1022.4,2337.1,1918.3, Monster,   True,1,-20,0,-19,11,120,220,146,486,13,4,15,  CK, Pair 9, Trip SS2, Four 3, Four 4, Four A, (1918.3, (11301, 26.9), (20908, 23.3), (40244, 139.6), (80310, 994.5), (80412, 503.5), (81410, 230.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Ming  ,845,0,849,2930.2,1848.1, Monster,   True,-17,-20,0,-37,6,-50,-20,-145,-215,11,2,15,   A, Trip HHJ, Trip SDK, Trip SHA, FullH 6, FullH 9, (1848.1, (11404, 100.0), (41133, 850.3), (41342, 540.7), (41443, 218.0), (70612, 108.4), (70905, 30.7)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Tony  ,845,1,633,1494.2,2154.3,     Ok,   True,16,70,90,176,8,30,90,113,233,10,3,15,   Q, Pair T, Trip HD4, Four 2, Four K, FiveSF J, (2154.3, (11201, 13.3), (21006, 26.2), (40432, 158.5), (80208, 941.1), (81311, 695.1), (91110, 320.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Edmond,845,0,289.3,1188.7,945, Not Ok,  False,0,-10,-30,-40,4,105,35,85,225,10,3,15,   A, Trip SC6, Trip SH7, Trip SHT, Flush Q, Flush A, (945.0, (11401, 56.2), (40641, 553.8), (40743, 234.3), (41043, 65.2), (61212, 25.4), (61411, 10.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Philip,845,0,401.5,1384.3,840, Not Ok,  False,0,-10,-30,-40,8,55,-195,125,-15,6,2,15,   A, Pair 9, Pair Q, Trip SD8, Four 3, Four 7, (840.0, (11404, 100.0), (20906, 21.5), (21206, 15.4), (40842, 43.2), (80313, 488.7), (80711, 171.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Peter ,845,0,336.4,1138.6,1213.9, Not Ok,  False,0,-10,-40,-50,4,-270,-170,-324,-764,11,0,16,   A, Trip SS6, Trip SH7, Trip HH8, FullH 3, Four 5, (1213.9, (11404, 100.0), (40644, 589.5), (40743, 234.3), (40833, 42.1), (70313, 92.8), (80512, 155.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Johnny,845,0,595.9,1690.2,1845.1,     Ok,   True,14,-20,0,-6,11,100,220,160,480,14,4,16,  SA, Pair J, Pair K, Trip SD7, FiveSF T, SixSF K, (1845.1, (11404, 100.0), (21112, 33.9), (21308, 20.1), (40742, 37.3), (91009, 930.9), (111312, 722.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Ming  ,845,1,820.6,1765.8,1931,     Ok,   True,9,-20,0,-11,7,-70,-20,-136,-226,12,2,16,   A, Trip DCQ, Trip HDK, Trip SHA, FullH 2, Four 6, (1931.0, (11402, 67.8), (41221, 877.1), (41332, 525.5), (41443, 218.0), (70209, 80.1), (80611, 162.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Tony  ,845,0,107.9,805.1,806.1,    Sad,  False,0,-10,-40,-50,8,20,50,113,183,10,3,16,   K, Trip SC4, Trip SS5, Trip SST, Flush A, FullH 3, (806.1, (11304, 47.8), (40441, 451.6), (40544, 189.0), (41044, 66.9), (61411, 35.1), (70302, 15.7)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Edmond,845,0,701.6,1685.4,836.6,     Ok,   True,-51,-20,0,-71,4,85,35,34,154,11,3,16,   K, Pair 9, Trip SDQ, Trip HDA, FullH 4, FullH T, (836.6, (11302, 32.5), (20913, 25.1), (41242, 476.7), (41432, 176.2), (70407, 94.9), (71005, 31.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Philip,845,2,1327.9,1974.6,2448.6,   Good,   True,28,80,80,188,10,135,-115,153,173,7,3,16,   A, Pair 7, Trip HHJ, Four 4, Four 9, FiveSF Q, (2448.6, (11403, 82.5), (20706, 13.1), (41133, 396.6), (80408, 1020.2), (80912, 612.1), (91211, 324.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Peter ,845,1,475.4,1378.2,1863.3, Not Ok,  False,0,-10,-20,-30,5,-280,-190,-324,-794,11,0,17,   A, Trip SD8, Trip HD9, Trip SDT, Straight A, SixSF A, (1863.3, (11403, 82.5), (40842, 691.9), (40932, 287.7), (41042, 61.7), (51405, 8.9), (111406, 730.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Johnny,845,0,200.2,1171.8,1426.4, Not Ok,  False,0,-10,-20,-30,11,90,200,160,450,14,4,17,  HK, Pair J, Pair Q, Trip SDA, FullH 2, SevenSF 9, (1426.4, (11303, 39.8), (21113, 34.2), (21207, 16.1), (41442, 195.4), (70209, 80.1), (130908, 1060.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Ming  ,845,0,799.1,1688.5,1056.6,     Ok,   True,-4,-20,0,-24,7,-90,-20,-140,-250,13,2,17,   K, Pair 6, Trip SH4, Trip HCJ, Four 2, FiveSF 9, (1056.6, (11302, 32.5), (20609, 10.3), (40443, 167.8), (41131, 69.5), (80212, 465.3), (90908, 311.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Tony  ,845,0,150.9,838.1,858.4,    Sad,  False,0,-10,-20,-30,8,10,30,113,153,10,3,17,   A, Pair J, Pair K, Trip HH6, Four 3, Four T, (858.4, (11403, 82.5), (21108, 31.8), (21308, 20.1), (40633, 32.2), (80314, 493.5), (81012, 198.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Edmond,845,1,990.8,2210.7,1556.3, Monster,   True,4,60,80,144,5,145,115,38,298,12,4,17,   Q, Trip HHT, Trip SSJ, Trip SSK, FullH 5, FullH 8, (1556.3, (11204, 22.7), (41033, 802.4), (41144, 440.4), (41344, 157.8), (70509, 103.0), (70807, 30.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Philip,845,0,290.6,758.1,495.1,    Sad,  False,0,-10,-20,-30,10,125,-135,153,143,7,3,17,   A, Pair K, Trip SH3, Trip SHA, Flush T, Flush Q, (495.1, (11402, 67.8), (21311, 38.8), (40343, 152.0), (41443, 218.0), (61009, 14.2), (61212, 4.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Peter ,845,0,333.6,2174.8,921.5,   Good,   True,-76,-20,0,-96,5,-300,-190,-400,-890,12,0,18,   K, Pair 9, Trip DD2, Trip SC5, Four 4, Four J, (921.5, (11302, 32.5), (20908, 23.3), (40222, 129.4), (40541, 28.6), (80412, 503.5), (81110, 204.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Johnny,845,0,725.3,1746.6,2383,     Ok,   True,45,-20,0,25,11,70,200,205,475,15,4,18,  SK, Pair J, Trip SS4, Four 7, Four A, FiveSF 6, (2383.0, (11304, 47.8), (21110, 33.5), (40444, 170.0), (80712, 1115.6), (81413, 719.9), (90605, 296.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Ming  ,845,1,608.8,1146.3,2302.2, Not Ok,  False,0,-10,-40,-50,8,-100,-60,-140,-300,13,2,18,   A, Pair 9, Trip SH2, Four 6, Four T, FiveSF Q, (2302.2, (11404, 100.0), (20905, 21.0), (40243, 138.3), (80608, 1079.8), (81013, 639.0), (91211, 324.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Tony  ,845,0,1021,2127.8,2014.9,   Good,   True,-18,-20,0,-38,8,-10,30,95,115,11,3,18,   A, Pair 7, Pair 9, Four 3, Four 8, FiveSF 9, (2014.9, (11404, 100.0), (20705, 12.5), (20904, 5.5), (80310, 994.5), (80812, 591.2), (90908, 311.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Edmond,845,1,844.3,2376.7,2764.2, Monster,   True,49,80,80,209,6,225,195,87,507,13,5,18,   T, Pair K, Pair A, Trip SHQ, SixSF A, SevenSF 8, (2764.2, (11001, 3.3), (21309, 38.3), (21407, 21.2), (41243, 107.9), (111413, 1536.0), (130807, 1057.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Philip,845,0,489.4,1542,736.4,     Ok,  False,0,-10,-40,-50,10,115,-175,153,93,7,3,18,   A, Pair K, Trip SD9, Trip HDQ, Flush A, Four J, (736.4, (11402, 67.8), (21308, 38.1), (40942, 300.8), (41232, 92.4), (61408, 33.1), (81110, 204.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Peter ,845,0,518.4,1314.4,1246.9, Not Ok,  False,0,-10,-40,-50,5,-310,-230,-400,-940,12,0,19,   K, Pair 4, Pair 7, Pair 9, Four A, Five 8, (1246.9, (11304, 47.8), (20412, 5.3), (20711, 3.4), (20910, 0.7), (81413, 719.9), (100800, 469.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Johnny,845,0,821.2,2043.7,2889.1,   Good,   True,2,-20,0,-18,11,50,200,207,457,16,4,19,  CK, Pair 3, Trip HD9, Four 4, Four 7, Six A, (2889.1, (11301, 26.9), (20311, 3.0), (40932, 287.7), (80412, 1039.8), (80713, 574.0), (121400, 957.7)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Ming  ,845,0,181.9,995.7,1108.2,    Sad,  False,0,-10,-40,-50,8,-110,-100,-140,-350,13,2,19,   A, Trip SC6, Trip SH9, Trip HCQ, Flush K, FullH 5, (1108.2, (11404, 100.0), (40641, 553.8), (40943, 314.4), (41231, 88.4), (61310, 28.3), (70507, 23.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Tony  ,845,1,475.1,1524,1317,     Ok,   True,-42,-20,0,-62,9,-30,30,53,53,12,3,19,   K, Trip SH6, Trip SHT, Trip SSQ, FullH 4, Four 3, (1317.0, (11301, 26.9), (40643, 579.8), (41043, 365.5), (41244, 112.2), (70411, 98.6), (80308, 134.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Edmond,845,2,847.7,1984.4,2930.1,   Good,   True,61,80,80,221,8,305,275,148,728,14,6,19,   A, Pair 8, Pair Q, Four 6, Four J, SevenSF 9, (2930.1, (11403, 82.5), (20805, 16.4), (21203, 14.3), (80613, 1095.5), (81113, 660.6), (130908, 1060.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Philip,845,0,601,1721.7,1473.6,     Ok,   True,-21,-20,0,-41,10,95,-175,132,52,8,3,19,   K, Trip DDT, Trip SHJ, Trip SSQ, FullH 2, FullH 5, (1473.6, (11303, 39.8), (41022, 788.1), (41143, 429.7), (41244, 112.2), (70209, 80.1), (70508, 23.7)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Peter ,845,2,1191.3,2711.3,2929.7, Monster,   True,89,90,40,219,7,-220,-190,-311,-721,13,1,20,   A, Pair J, Trip HHK, Four 8, Four Q, Five 9, (2929.7, (11403, 82.5), (21106, 30.8), (41333, 529.3), (80807, 1124.7), (81214, 685.4), (100900, 477.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Johnny,845,0,339.1,1970,1648.2,   Good,   True,11,-20,0,-9,11,30,200,218,448,17,4,20,  SJ, Trip SHT, Trip SDK, Trip DCA, FullH 3, FullH 4, (1648.2, (11104, 11.3), (41043, 828.3), (41342, 540.7), (41421, 161.4), (70307, 87.0), (70405, 19.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Ming  ,845,0,567.2,1459.5,845.2,     Ok,   True,-69,-20,0,-89,8,-130,-100,-209,-439,14,2,20,   A, Pair J, Trip HD2, Trip SSQ, Flush T, Five 6, (845.2, (11404, 100.0), (21114, 34.4), (40232, 131.5), (41244, 112.2), (61008, 13.2), (100600, 453.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Tony  ,845,0,821.8,1619.5,1663.4,     Ok,   True,-23,-20,0,-43,9,-50,30,30,10,13,3,20,   A, Trip SD6, Trip HDQ, Trip SSK, FullH 2, FiveSF A, (1663.4, (11402, 67.8), (40642, 562.5), (41232, 457.3), (41344, 157.8), (70208, 79.0), (91405, 339.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Edmond,845,1,679.7,2102.1,1573.5,   Good,   True,-8,-20,0,-28,9,285,275,140,700,15,6,20,   A, Trip SST, Trip HHJ, Trip SCK, FullH 5, FullH 7, (1573.5, (11403, 82.5), (41044, 837.6), (41133, 396.6), (41341, 128.8), (70504, 100.6), (70703, 27.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Philip,845,0,504.1,1585.3,1536.1,     Ok,  False,0,-10,-40,-50,10,85,-215,132,2,8,3,20,   Q, Trip HD4, Trip SD7, Trip HH9, FullH 2, SixSF J, (1536.1, (11203, 18.9), (40432, 445.7), (40742, 226.6), (40933, 49.5), (70210, 81.5), (111110, 713.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Peter ,845,0,376.6,1601,1044.8,     Ok,   True,-37,-20,0,-57,7,-240,-190,-348,-778,14,1,21,   K, Trip HD6, Trip SH8, Trip HHT, FullH 4, FullH 5, (1044.8, (11304, 47.8), (40632, 546.1), (40843, 268.9), (41033, 59.5), (70412, 99.2), (70507, 23.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Johnny,845,1,1131.8,1806.8,3515.3,   Good,   True,60,80,80,220,12,110,280,278,668,18,5,21,  CJ, Pair 9, Pair Q, Five 6, Five 7, Five A, (3515.3, (11101, 6.6), (20905, 21.0), (21204, 14.5), (100600, 1782.0), (100700, 1176.4), (101400, 514.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Ming  ,845,0,324.6,1138.3,1006.6, Not Ok,  False,0,-10,-40,-50,8,-140,-140,-209,-489,14,2,21,   A, Trip HD5, Trip SH9, Trip SHT, Flush J, FullH 2, (1006.6, (11404, 100.0), (40532, 493.0), (40943, 314.4), (41043, 65.2), (61110, 18.4), (70213, 15.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Tony  ,845,1,1009.4,2449,1893.1, Monster,   True,22,-20,0,2,10,-70,30,52,12,14,3,21,   Q, Trip SHJ, Trip HCK, Trip SHA, FullH 3, Four 8, (1893.1, (11204, 22.7), (41143, 869.7), (41331, 517.8), (41443, 218.0), (70307, 87.0), (80810, 177.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Edmond,845,1,577.5,1498.5,1169.5,     Ok,   True,-45,-20,0,-65,10,265,275,95,635,16,6,21,   A, Trip SS3, Trip SHQ, Trip SHK, Flush J, Flush Q, (1169.5, (11402, 67.8), (40344, 433.3), (41243, 497.9), (41343, 149.3), (61110, 18.4), (61209, 2.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Philip,845,0,411.2,1662.3,1514.5,     Ok,  False,0,-10,-40,-50,10,75,-255,132,-48,8,3,21,   A, Trip SCT, Trip SHJ, Trip SSK, Flush A, FullH 8, (1514.5, (11401, 56.2), (41041, 804.6), (41143, 429.7), (41344, 157.8), (61412, 36.1), (70809, 30.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Peter ,845,1,1048.9,2216.4,1625, Monster,   True,12,-20,0,-8,8,-260,-190,-336,-786,15,1,22,   K, Trip SHT, Trip SHK, Trip SDA, Straight 7, Flush J, (1625.0, (11303, 39.8), (41043, 828.3), (41343, 558.4), (41442, 195.4), (50706, 2.0), (61106, 1.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Johnny,845,0,320,699,1242.1,    Sad,  False,0,-10,-40,-50,12,100,240,278,618,18,5,22,  DA, Trip SH8, Trip HDT, Trip SHQ, Straight 7, FullH 3, (1242.1, (11402, 67.8), (40843, 711.3), (41032, 334.8), (41243, 107.9), (50706, 2.0), (70311, 18.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Ming  ,845,2,550.3,1690,1510.4,     Ok,   True,-20,-20,0,-40,10,-160,-140,-229,-529,15,2,22,   A, Trip SD7, Trip HH8, Trip DDK, Flush T, Five 5, (1510.4, (11401, 56.2), (40742, 627.0), (40833, 251.1), (41322, 115.9), (61009, 14.2), (100500, 446.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Tony  ,845,0,526.7,1427.5,1562.5,     Ok,   True,-16,-20,0,-36,10,-90,30,36,-24,15,3,22,   A, Trip SS6, Trip SS8, Trip DDQ, Flush A, Five J, (1562.5, (11403, 82.5), (40644, 589.5), (40844, 274.8), (41222, 87.3), (61412, 36.1), (101100, 492.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Edmond,845,0,389.7,1155.8,1225.5, Not Ok,  False,0,-10,-40,-50,10,255,235,95,585,16,6,22,   K, Pair 4, Pair 6, Trip SSA, Four 9, FiveSF J, (1225.5, (11304, 47.8), (20412, 5.3), (20611, 2.1), (41444, 232.9), (80913, 617.3), (91110, 320.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Philip,845,0,1151,1959.1,2214.8,   Good,   True,24,80,80,184,10,155,-175,156,136,9,4,22,   A, Pair 6, Pair 7, Pair K, Four 2, NineSF J, (2214.8, (11404, 100.0), (20609, 10.3), (20708, 2.9), (21305, 4.3), (80212, 465.3), (171110, 1632.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Peter ,845,0,826,1462,1256.8,     Ok,   True,-39,-20,0,-59,8,-280,-190,-375,-845,16,1,23,   A, Pair 8, Pair J, Trip HH9, Four T, Five 5, (1256.8, (11403, 82.5), (20813, 20.2), (21112, 14.1), (40933, 49.5), (81014, 644.5), (100500, 446.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Johnny,845,2,1403.9,2785.1,3790, Monster,   True,113,90,40,243,14,190,280,391,861,19,6,23,  C9, Pair T, Four 3, Four K, Four A, FiveSF 8, (3790.0, (10901, 1.8), (21002, 25.4), (80305, 1568.0), (81306, 1184.2), (81407, 704.1), (90807, 306.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Ming  ,845,0,1015.2,1438.4,1187,     Ok,   True,-42,-20,0,-62,10,-180,-140,-271,-591,16,2,23,   K, Trip SH2, Trip HD6, Trip SHA, Flush Q, FiveSF T, (1187.0, (11304, 47.8), (40243, 387.0), (40632, 195.8), (41443, 218.0), (61210, 22.7), (91009, 315.7)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Tony  ,845,1,782.4,1411.3,1679.3,     Ok,   True,-4,-20,0,-24,11,-110,30,32,-48,16,3,23,   T, Trip DCJ, Trip SHQ, Trip SSA, FullH 2, FullH 8, (1679.3, (11001, 3.3), (41121, 838.8), (41243, 497.9), (41444, 232.9), (70206, 77.0), (70804, 29.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Edmond,845,0,477.6,1646.3,1588.7,     Ok,   True,-28,-20,0,-48,10,235,235,67,537,17,6,23,   A, Trip SS9, Trip SHQ, Trip HDK, FullH 4, FullH 7, (1588.7, (11401, 56.2), (40944, 783.9), (41243, 497.9), (41332, 123.4), (70411, 98.6), (70710, 28.7)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Philip,845,0,188.4,1150.4,1009, Not Ok,  False,0,-10,-40,-50,10,145,-215,156,86,9,4,23,   K, Trip SS5, Trip SC8, Trip SHJ, FullH 2, FullH 4, (1009.0, (11303, 39.8), (40544, 529.3), (40841, 252.6), (41143, 82.4), (70212, 84.0), (70409, 20.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Peter ,845,0,279.2,1504.8,1635.5,     Ok,   True,-3,-20,0,-23,8,-300,-190,-378,-868,17,1,24,   K, Trip SDJ, Trip SCQ, Trip SHA, Flush K, FullH 3, (1635.5, (11304, 47.8), (41142, 858.1), (41241, 465.5), (41443, 218.0), (61311, 29.9), (70305, 16.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Johnny,845,1,1982.5,2989.2,3015.8, Monster,   True,75,90,40,205,15,280,320,466,1066,20,7,24,  HA, Pair Q, Trip SH8, Four 2, Four T, SevenSF J, (3015.8, (11403, 82.5), (21204, 34.5), (40843, 268.9), (80207, 937.3), (81009, 626.7), (131110, 1065.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Ming  ,845,1,996.5,2980.5,1502, Monster,   True,-32,-20,0,-52,11,-200,-140,-303,-643,17,2,24,   K, Trip SC4, Trip DC5, Trip SS6, Four 9, Four J, (1502.0, (11301, 26.9), (40441, 451.6), (40521, 170.9), (40644, 34.5), (80913, 617.3), (81107, 200.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Tony  ,845,1,1126,2551.8,1492.2, Monster,   True,-36,-20,0,-56,12,-130,30,-4,-104,17,3,24,   K, Pair 9, Pair Q, Pair A, Straight 8, EightSF A, (1492.2, (11304, 47.8), (20911, 24.2), (21210, 18.0), (21407, 6.2), (50807, 3.1), (151408, 1392.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Edmond,845,0,180.7,899.2,1259.5,    Sad,  False,0,-10,-40,-50,10,225,195,67,487,17,6,24,   A, Trip SH6, Trip HD7, Trip HHK, FullH 4, Four 8, (1259.5, (11401, 56.2), (40643, 579.8), (40732, 219.3), (41333, 126.9), (70405, 93.9), (80814, 183.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Philip,845,0,824.3,1811.2,1621,   Good,   True,-4,-20,0,-24,10,125,-215,152,62,10,4,24,   A, Trip HH9, Trip SDQ, Trip SHK, Flush J, Four 2, (1621.0, (11404, 100.0), (40933, 742.9), (41242, 476.7), (41343, 149.3), (61110, 18.4), (80214, 133.7)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Peter ,845,1,847.8,2314.3,1746.7, Monster,   True,11,-20,0,-9,9,-320,-190,-367,-877,18,1,25,   K, Trip SH9, Trip SDJ, Trip SHA, FullH 6, Four T, (1746.7, (11303, 39.8), (40943, 774.0), (41142, 409.6), (41443, 218.0), (70608, 107.0), (81012, 198.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Johnny,845,0,251.1,1243.4,899.2, Not Ok,  False,0,-10,-40,-50,15,270,280,466,1016,20,7,25,  DA, Trip SC3, Trip SD4, Trip HC5, Straight J, Four K, (899.2, (11402, 67.8), (40341, 409.3), (40442, 163.4), (40531, 27.5), (51110, 6.1), (81314, 225.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Phil hand20 > 550, Ming  ,845,1,993.1,1664.4,1976.8,     Ok,   True,24,-20,0,4,12,-220,-140,-279,-639,18,2,25,   A, Pair 2, Pair 4, Pair J, FiveSF 8, Six Q, (1976.8, (11404, 100.0), (20214, 2.0), (20410, 0.6), (21108, 2.1), (90807, 919.3), (121200, 952.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
