51211,12.96,40614,3.01,40504,90.42,40404,392.4,40304,781.11,11402,99.28,1379.18,,,,,
90908,438.75,80311,690.08,40900,184.14,40200,383.28,21213,78.91,11400,100,1875.16,,,,,
90908,423.95,80311,650.08,41304,263.76,40402,390.54,21411,77.98,11204,51.1,1857.41,,,,,
90807,410.1,80210,600.08,40502,78.57,40303,323.16,21311,69.75,11103,31.86,1513.52,,,,,
90807,410.1,80210,600.08,41103,195.15,40904,523.26,21412,74.8,11304,70.93,1874.32,,,,,
81008,273.04,70411,125.04,41404,285.27,41304,594.12,41203,1992.6,10904,11.05,3281.12,,,,,
91211,442.3,80613,712,41200,239.37,40800,510.36,40200,758.52,11400,100,2762.55,,,,,
91312,445.9,80714,720.4,41100,212.82,41000,559.92,40300,791.19,11400,100,2830.23,,,,,
91405,445.6,80807,721.68,41404,295.53,41304,598.44,40604,846.9,11101,35.39,2943.54,,,,,
91009,416.45,80411,623.68,41204,224.94,40504,385.44,21413,73.4,11302,66.3,1790.21,,,,,
51110,23.95,40512,71.25,40400,298.26,40300,586.08,21102,66.71,11400,85,1131.25,,,,,
91009,433.1,80411,684.8,41300,267.84,40500,434.7,21211,72.81,11400,100,1993.25,,,,,
91405,445.3,80807,719.04,40902,163.05,40604,448.68,21310,73.56,11204,51.1,1900.73,,,,,
90807,443.65,80209,692,41300,279.27,40700,534.12,20604,47.47,11400,100,2096.51,,,,,
91405,433.3,80806,677.84,41404,297.21,21207,22.13,21007,42.86,11101,27.06,1500.4,,,,,
51110,23.95,40511,71.25,40400,298.26,21407,90.35,21202,74.24,11300,70,628.05,,,,,
90807,419.05,80208,630.16,40904,163.74,21308,38.51,21011,57.52,11204,51.1,1360.08,,,,,
90908,423.95,80309,647.76,41204,233.58,21309,39.59,21011,57.52,11404,100,1502.4,,,,,
90908,429.9,80309,671.36,41400,296.85,41300,597.9,41000,896.13,11100,37.84,2929.98,,,,,
90908,434.05,80309,680.08,41300,270.9,41200,592.8,40500,841.95,11000,26.41,2846.19,,,,,
51009,21.99,40410,70.59,40300,297.87,21409,92.24,20212,23.82,11300,70,576.51,,,,,
51110,11.27,40511,2.86,40404,77.01,40304,358.98,21413,78.87,11303,73.35,602.34,,,,,
